FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
268936,George And Davis',Restaurant/Cafe/Canteen,"Unit 2, Dartington House, 55 Little Clarendon Street",OX1 2HS,0,5,0
268914,George And Delila,Restaurant/Cafe/Canteen,"104 Cowley Road, Oxford, Oxfordshire",OX4 3TJ,0,0,0
854391,George Street Social,Restaurant/Cafe/Canteen,"35 New Inn Hall Street, Oxford, Oxfordshire",OX1 2DH,5,5,0
1181202,Giggling Squid,Restaurant/Cafe/Canteen,"55 Walton Street, Oxford, Oxfordshire",OX2 6AE,0,5,5
268648,Gino's Spaghetti House,Restaurant/Cafe/Canteen,"94 Gloucester Green, Oxford, Oxfordshire",OX1 2DF,0,5,5
1728330,Gkouri Ltd @ The Varsity Club,Restaurant/Cafe/Canteen,"9A High Street, Oxford, Oxfordshire",OX1 4DB,0,0,0
1193803,Glut,Restaurant/Cafe/Canteen,"71 George Street, Oxford, Oxfordshire",OX1 2BQ,0,5,0
1296977,Gourmet Burger Kitchen,Restaurant/Cafe/Canteen,"29-31 George Street, Oxford, Oxfordshire",OX1 2AY,0,0,0
631365,Greece Greek Taverna,Restaurant/Cafe/Canteen,"84 Cowley Road, Oxford, Oxfordshire",OX4 1JB,5,0,5
1700662,Green Routes,Restaurant/Cafe/Canteen,"39 Magdalen Road, Oxford, Oxfordshire",OX4 1RB,0,5,5
1223613,Greengage Catering - Department Of International Development,Restaurant/Cafe/Canteen,"3 Mansfield Road, Oxford, Oxfordshire",OX1 3TB,0,0,0
1656360,Greens Cafe,Restaurant/Cafe/Canteen,"51 St Giles', Oxford, Oxfordshire",OX1 3LU,5,10,5
1567239,Greggs,Restaurant/Cafe/Canteen,"Oxford Railway Station, Park End Street, Oxford",OX1 1HS,0,0,0
1490140,Gulp Fiction LTD,Restaurant/Cafe/Canteen,"28 - 29 Covered Market, Market Street, Oxford",OX1 3DU,0,5,10
1594077,Gusto Italian,Restaurant/Cafe/Canteen,"The Mitre, 18 High Street, Oxford",OX1 4AQ,5,5,5
1098309,Hamblin Bread,Restaurant/Cafe/Canteen,"247 Iffley Road, Oxford, Oxfordshire",OX4 1SJ,0,0,0
929926,Handle Bar,Restaurant/Cafe/Canteen,"28 - 32 St Michael's Street, Oxford, Oxfordshire",OX1 2EB,0,5,0
1693344,Heat Africa,Restaurant/Cafe/Canteen,"189 Cowley Road, Oxford, Oxfordshire",OX4 1UT,0,5,0
1019675,Heavenly Desserts,Restaurant/Cafe/Canteen,"73 London Road, Headington, Oxford",OX3 9AA,0,0,0
1764803,Herbies Pizza,Restaurant/Cafe/Canteen,"3 Courtland Road, Oxford, Oxfordshire",OX4 4HZ,0,5,0
1669030,Hi Home BBQ,Restaurant/Cafe/Canteen,"86 St Clement's Street, Oxford, Oxfordshire",OX4 1AR,10,5,10
1764809,Hideout Social,Restaurant/Cafe/Canteen,"96 Cowley Road, Oxford, Oxfordshire",OX4 1JE,0,0,5
777803,High Street Cafe,Restaurant/Cafe/Canteen,"67-68 High Street, Oxford, Oxfordshire",OX1 4BA,5,5,10
269539,Hollywood Bowl Oxford,Restaurant/Cafe/Canteen,"Bowlplex, Ozone Leisure Park, Grenoble Road",OX4 4XP,5,5,5
1300121,Home Bargains,Restaurant/Cafe/Canteen,"Unit 1 Toys R Us, 219 Botley Road, Oxford",OX2 0HA,0,0,0
1680805,Hotspot Chinese Restaurant,Restaurant/Cafe/Canteen,"158 Cowley Road, Oxford, Oxfordshire",OX4 1UE,5,0,5
1759664,Iffley Kitchen,Restaurant/Cafe/Canteen,"Tree Hotel, 63 Church Way, Oxford",OX4 4EY,N/A,N/A,N/A
1656364,Il Corno,Restaurant/Cafe/Canteen,"40 - 41 Covered Market, Market Street, Oxford",OX1 3DZ,5,5,10
1680803,Il Gusto Oxford LTD,Restaurant/Cafe/Canteen,"218 Cowley Road, Oxford, Oxfordshire",OX4 1UQ,0,0,0
997147,Isis Farmhouse,Restaurant/Cafe/Canteen,"The Towing Path, Oxford, Oxfordshire",OX4 4EL,0,0,0
1804369,ItaliAmo Trattoria,Restaurant/Cafe/Canteen,"21 Broad Street, Oxford, Oxfordshire",OX1 3AS,N/A,N/A,N/A
1072117,Itsu,Restaurant/Cafe/Canteen,"217 The Westgate, Queen Street, Oxford",OX1 1PE,0,0,0
889449,Itsu,Restaurant/Cafe/Canteen,"36 Cornmarket Street, Oxford, Oxfordshire",OX1 3EZ,0,0,0
